updated,country,countryInfo,cases,deaths,active,casesPerOneMillion,deathsPerOneMillion,tests,testsPerOneMillion,population,continent,oneCasePerPeople,oneDeathPerPeople,oneTestPerPeople,activePerOneMillion
1746523456844,India,356,45035393,533570,44501823,32016,379,935879495,665334,1406631776,Asia,31,2636,2,31637.15
1746523456844,India,IN,45035393,533570,44501823,32016,379,935879495,665334,1406631776,Asia,31,2636,2,31637.15
1746523456844,India,IND,45035393,533570,44501823,32016,379,935879495,665334,1406631776,Asia,31,2636,2,31637.15
1746523456844,India,20,45035393,533570,44501823,32016,379,935879495,665334,1406631776,Asia,31,2636,2,31637.15
1746523456844,India,77,45035393,533570,44501823,32016,379,935879495,665334,1406631776,Asia,31,2636,2,31637.15
1746523456844,India,https://disease.sh/assets/img/flags/in.png,45035393,533570,44501823,32016,379,935879495,665334,1406631776,Asia,31,2636,2,31637.15
